Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,4.750000,4.775000,4.287500,4.312500,4.312500,40090000
2021-01-05,4.337500,4.520000,4.307500,4.342500,4.342500,19846000
2021-01-06,4.335000,4.745000,4.332500,4.590000,4.590000,24224800
2021-01-07,4.617500,4.862500,4.505000,4.520000,4.520000,24517200
2021-01-08,4.545000,4.575000,4.270000,4.422500,4.422500,25928000
2021-01-11,4.852500,5.162500,4.752500,4.985000,4.985000,59632000
2021-01-12,4.990000,5.100000,4.830000,4.987500,4.987500,28242800
2021-01-13,5.105000,9.662500,5.007500,7.850000,7.850000,578006800
2021-01-14,9.522500,10.765000,8.262500,9.977500,9.977500,374869600
2021-01-15,9.622500,10.187500,8.502500,8.875000,8.875000,187465600
2021-01-19,10.387500,11.380000,9.160000,9.840000,9.840000,298887600
2021-01-20,9.342500,10.297500,9.015000,9.780000,9.780000,133887200
2021-01-21,9.807500,11.187500,9.250000,10.757500,10.757500,224867600
2021-01-22,10.647500,19.190001,10.580000,16.252501,16.252501,788631600
2021-01-25,24.182501,39.794998,15.282500,19.197500,19.197500,711496000
2021-01-26,22.139999,37.500000,20.049999,36.994999,36.994999,714352000
2021-01-27,88.707497,95.000000,62.250000,86.877502,86.877502,373586800
2021-01-28,66.250000,120.750000,28.062500,48.400002,48.400002,235263200
2021-01-29,94.927498,103.495003,62.500000,81.250000,81.250000,202264400
2021-02-01,79.139999,80.500000,53.000000,56.250000,56.250000,149528800
2021-02-02,35.189999,39.500000,18.555000,22.500000,22.500000,312732400
2021-02-03,28.002501,28.350000,21.312500,23.102501,23.102501,170794000
2021-02-04,22.797501,22.875000,13.332500,13.375000,13.375000,249709200
2021-02-05,13.510000,23.750000,12.772500,15.942500,15.942500,325380000
2021-02-08,18.102501,18.165001,14.505000,15.000000,15.000000,102749200
2021-02-09,14.152500,14.250000,11.630000,12.577500,12.577500,107372400
2021-02-10,12.692500,15.707500,11.637500,12.800000,12.800000,145820000
2021-02-11,12.502500,13.830000,12.055000,12.775000,12.775000,52226800
2021-02-12,12.687500,13.810000,12.012500,13.100000,13.100000,58293200
2021-02-16,13.165000,13.375000,12.260000,12.377500,12.377500,32700000
2021-02-17,12.442500,12.797500,11.140000,11.485000,11.485000,36747200
2021-02-18,12.122500,12.217500,10.162500,10.172500,10.172500,95962400
2021-02-19,10.320000,10.972500,9.625000,10.147500,10.147500,59312800
2021-02-22,11.672500,12.127500,10.600000,11.500000,11.500000,77904000
2021-02-23,11.242500,11.557500,10.000000,11.242500,11.242500,30260800
2021-02-24,11.175000,22.927500,11.175000,22.927500,22.927500,332446800
2021-02-25,42.389999,46.169998,25.250000,27.182501,27.182501,601235200
2021-02-26,29.365000,35.724998,21.500000,25.434999,25.434999,368776800
2021-03-01,26.135000,33.497501,24.992500,30.100000,30.100000,199176000
2021-03-02,29.232500,33.299999,28.049999,29.545000,29.545000,135132000
2021-03-03,30.627501,31.937500,28.280001,31.045000,31.045000,77095600
2021-03-04,31.250000,36.967499,28.825001,33.087502,33.087502,130427600
2021-03-05,32.042500,37.882500,31.875000,34.435001,34.435001,122934800
2021-03-08,38.722500,52.717499,36.525002,48.625000,48.625000,254262400
2021-03-09,54.427502,62.462502,52.127499,61.724998,61.724998,156397200
2021-03-10,67.357498,87.125000,43.000000,66.250000,66.250000,286282400
2021-03-11,60.410000,70.375000,58.150002,65.000000,65.000000,113250000
2021-03-12,68.750000,73.875000,65.567497,66.125000,66.125000,103383600
2021-03-15,69.379997,70.750000,51.500000,55.035000,55.035000,96401600
2021-03-16,50.790001,55.174999,43.087502,52.042500,52.042500,141691600
2021-03-17,54.459999,57.867500,51.000000,52.452499,52.452499,65926400
2021-03-18,53.500000,54.720001,48.912498,50.437500,50.437500,47059600
2021-03-19,48.932499,56.750000,45.665001,50.067501,50.067501,98709200
2021-03-22,51.314999,52.590000,46.549999,48.622501,48.622501,40246000
2021-03-23,49.375000,50.437500,44.387501,45.437500,45.437500,57716400
